id	title	tag	borderList	approveList	negativeList
NZ	Новая Зеландия	UN
NO	Норвегия	UN	SE, FI, RU
AE	ОАЭ	UN	SA, OM
OM	Оман	UN	SA, AE, YE
PK	Пакистан	UN	IR, AF, IN
PW	Палау	UN
PA	Панама	UN	CR, CO
PG	Папуа-Новая Гвинея	UN	ID
PY	Парагвай	UN	AR, BO, BR
PE	Перу	UN	EC, CO, BR, BO, CL
PL	Польша	UN	RU, LT, BY , UA, SK, CZ, DE
PT	Португалия	UN	ES
CG	Республика Конго	UN	GA, CM, CF, CD, AO
KP	КНДР	UNNA	CN, RU, KR		KR, JP, FR, EE
RU	Россия	UN	NO, FI, EE, LV, LT, PL, BY, UA, ABH, GE, SOS, AZ, KZ, CN, MN, KP
RW	Руанда	UN	CD, UG, TZ, BI
RO	Румыния	UN	UA, MD, HU, RS, BG
SV	Сальвадор	UN	HN, GT
WS	Самоа	UN
SM	Сан-Марино	UN	IT
ST	Сан-Томе и Принсипи	UN
SA	Саудовская Аравия	UN	JO, IQ, KW, QA, AE, OM, YE
SZ	Свазиленд	UN	ZA, MZ
SC	Сейшелы	UN
SN	Сенегал	UN	MR, ML, GN, GW, GM
VC	Сент-Винсент и Гренадины	UN
KN	Сент-Китс и Невис	UN
LC	Сент-Люсия	UN
RS	Сербия	UN	RO, BG, MK, ME, AL, BA, HR, HU
SG	Сингапур	UN	MY
SY	Сирия	UNNA	LB, IL, JO, IQ, TR
SK	Словакия	UN	UA, PL, CZ, AT, HU
SI	Словения	UN	IT, AT, HU, HR
SB	Соломоновы острова	UN
SO	Сомали	UN	ET, KE, DJ
SD	Судан	UN	EG, LY, TD, CF, SS, ER, ET
SR	Суринам	UN	GY, BR
US	США	UN	CA, MX
SL	Сьерра-Леоне	UN	GN, LR
TJ	Таджикистан	UN	CN, AF, UZ, KG
TH	Таиланд	UN	KH, LA, MM, MY
TZ	Танзания	UN	RW, BI, CD, ZM, MW, MZ
TL	Тимор	UN	ID
TG	Того	UN	GH, BJ, BF
TO	Тонга	UN
TT	Тринидад и Тобаго	UN
TV	Тувалу	UN
